TimeStep,ID,Latitude,Longitude,SignalStrength,CurrentBasestation,finished,Trajectory
33,234184799,43.0346995,-76.1277551,132.6556246,1,1,-1
33,1458493498,43.0336033,-76.1284778,133.4244789,1,1,-1
33,1947862555,43.0376604,-76.1341188,127.3588128,1,1,-1
33,757675095,43.0751095,-76.1733201,124.298536,7,1,-1
33,60575480,43.0493398,-76.2399095,137.0144703,9,1,-1
33,1708706542,43.0283808,-76.0403698,999,-1,1,-1
33,72524579,43.0362013,-76.1330291,129.5570515,1,1,-1
34,757675095,43.0750058,-76.1731504,124.0681112,7,1,-1
34,1947862555,43.0374984,-76.1341225,127.6001713,1,1,-1
34,72524579,43.0360398,-76.1330099,129.7625504,1,1,-1
34,1708706542,43.0283597,-76.0405888,999,-1,1,-1
34,1707145787,43.0827094,-76.176801,134.4481008,7,1,-1
34,1737904745,43.0741285,-76.1722047,122.2173845,7,1,-1
34,1458493498,43.0334991,-76.1283087,999,-1,1,-1
34,60575480,43.0492707,-76.2397097,136.9667377,9,1,-1
34,234184799,43.0345852,-76.1275987,999,-1,1,-1
35,60575480,43.0492016,-76.2395099,136.9197498,9,1,-1
35,757675095,43.074902,-76.1729807,123.8371852,7,1,-1
35,1707145787,43.0825668,-76.176696,134.3090902,7,1,-1
35,72524579,43.0358784,-76.1329907,129.9648941,1,1,-1
35,1737904745,43.0739812,-76.1721126,121.8802855,7,1,-1
35,1947862555,43.0373363,-76.1341262,127.8372499,1,1,-1
35,1708706542,43.0283386,-76.0408077,999,-1,1,-1
35,1458493498,43.0333946,-76.1281398,133.6974265,1,1,-1
35,234184799,43.0344707,-76.1274424,132.9641119,1,1,-1
36,60575480,43.0491325,-76.2393101,136.8735254,9,1,-1
36,72524579,43.035717,-76.1329716,130.1641768,1,1,-1
36,1737904745,43.0738339,-76.1720206,121.5361714,7,1,-1
36,234184799,43.034356,-76.1272863,133.1160339,1,1,-1
36,1947862555,43.0371743,-76.1341299,128.0701938,1,1,-1
36,1458493498,43.03329,-76.1279712,133.8324533,1,1,-1
