TimeStep,ID,Latitude,Longitude,SignalStrength,CurrentBasestation,finished
200,977034077,43.0295119,-76.1337889,136.0570039,3,1
200,1808679382,43.0496715,-76.2309163,999,-1,1
200,1405662074,43.0339391,-76.1316791,132.3559093,3,1
200,1242667807,43.0757341,-76.1737903,125.5941561,7,1
200,1917132249,43.0827768,-76.143283,132.1561215,6,1
200,1887555076,43.0806513,-76.1708672,131.9509675,7,1
210,855323113,43.0796799,-76.1351105,123.5917974,6,1
210,432814178,43.0046488,-76.0532714,999,-1,1
210,319618935,43.0809626,-76.1464549,132.7829448,6,1
210,581385853,43.0211604,-76.1309653,137.0499805,0,1
210,2027308069,43.0821702,-76.1599079,139.8414104,6,1
210,265804194,43.0079615,-76.1334907,129.7864303,5,1
210,2014572005,43.051301,-76.2294383,999,-1,1
210,1233186384,43.0827884,-76.1329492,128.1046963,6,1
210,533586463,43.0232606,-76.1309647,137.573707,0,1
210,1581941446,43.0329739,-76.2376469,999,-1,1
210,977034077,43.0278917,-76.1337889,137.2607332,3,1
210,1917132249,43.0827767,-76.1410725,131.0011716,6,1
210,1405662074,43.0323189,-76.1316791,133.898614,3,1
210,1242667807,43.0741138,-76.1737903,122.4623991,7,1
210,1808679382,43.0496715,-76.228707,999,-1,1
210,1887555076,43.0806513,-76.1686568,132.1836217,7,1
220,2027308069,43.0821702,-76.1576975,136.4819027,7,1
220,855323113,43.0796799,-76.1329001,122.6689286,6,1
220,1581941446,43.0313537,-76.2376469,999,-1,1
220,1233186384,43.0827884,-76.1307387,128.0817282,6,1
220,265804194,43.0063412,-76.1334907,127.8050384,5,1
220,2014572005,43.051301,-76.227229,999,-1,1
220,533586463,43.0216404,-76.1309647,137.1046933,0,1
